feature,missing_rate
functional_difficulty_3_2011,0.926344267839026
sad_or_depressed_2011,0.7893134934054785
functional_difficulty_2_2011,0.5042948934731146
self_rated_health_2011,0.503686168413933
health_compared_peer_2011,0.49665201217450117
functional_difficulty_11_2011,0.3746364558674332
functional_difficulty_15_2011,0.37436591139668585
functional_difficulty_14_2011,0.3741630030436253
functional_difficulty_13_2011,0.3741630030436253
functional_difficulty_10_2011,0.3740953669259385
functional_difficulty_12_2011,0.3740277308082516
qc1_vb004_2011,0.33628677713899224
newglu_2011,0.3306729793709841
newldl_2011,0.3303347987825499
newcho_2011,0.3296584376056814
newhdl_2011,0.32925262089956037
newcrp_2011,0.32925262089956037
newhba1c_2011,0.32654717619208656
waist_height_ratio_2011,0.22529590801487995
central_obesity_2011,0.21812647954007439
waist_cm_2011,0.21745011836320596
bmi_to_fi_2011,0.21352722353736894
bmi_underweight_2011,0.21352722353736894
bmi_overweight_2011,0.21352722353736894
bmi_obesity_2011,0.21352722353736894
bmi_2011,0.21352722353736894
height_cm_2011,0.20973960094690564
weight_kg_2011,0.20642543118025025
pulse_pressure_2011,0.20371998647277648
diastolic_bp_mean_2011,0.20351707811971592
systolic_bp_mean_2011,0.20351707811971592
high_bp_measured_2011,0.2033141697666554
depressed_frequency_2011,0.09631383158606696
functional_difficulty_1_2011,0.020020290835306053
chronic_disease_2_2011,0.01799120730470071
functional_difficulty_5_2011,0.008860331416976666
chronic_disease_3_2011,0.007304700710179236
chronic_disease_1_2011,0.004937436591139668
chronic_disease_14_2011,0.0039905309435238415
functional_difficulty_19_2011,0.0039228948258369966
chronic_disease_6_2011,0.0033818058843422386
chronic_disease_11_2011,0.003314169766655394
chronic_disease_9_2011,0.0031788975312817044
chronic_disease_4_2011,0.00297598917822117
functional_difficulty_20_2011,0.002908353060534325
functional_difficulty_18_2011,0.002705444707473791
functional_difficulty_6_2011,0.0023672641190395673
functional_difficulty_9_2011,0.0022996280013527224
chronic_disease_12_2011,0.0022319918836658775
functional_difficulty_4_2011,0.002029083530605343
functional_difficulty_7_2011,0.0019614474129184983
functional_difficulty_16_2011,0.0019614474129184983
functional_difficulty_17_2011,0.001826175177544809
fi_age_interaction_2011,0.001826175177544809
chronic_disease_13_2011,0.001826175177544809
fi_broad_age_interaction_2011,0.0017585390598579642
age_2011,0.0017585390598579642
chronic_disease_10_2011,0.0017585390598579642
chronic_disease_5_2011,0.0017585390598579642
functional_difficulty_8_2011,0.0016909029421711193
education_code_2011,0.0012174501183632059
current_smoking_2011,0.0008116334122421373
chronic_disease_8_2011,0.0007439972945552925
sex_code_2011,0.0006763611768684477
alcohol_frequency_code_2011,0.00040581670612106866
fi_2011,6.763611768684478e-05
fi_high_2011,6.763611768684478e-05
fi_observed_fraction_2011,0.0
fi_broad_high_2011,0.0
fi_broad_observed_fraction_2011,0.0
marital_code_2011,0.0
fi_broad_exploratory_2011,0.0
baseline_heart_disease,0.0
eligible_baseline_no_heart_disease,0.0
